"Date","Price","Open","High","Low","Vol.","Change %"
"30-11-2023","2,057.20","2,065.40","2,067.40","2,051.20","151.92K","-0.48%"
"29-11-2023","2,067.10","2,062.00","2,072.70","2,055.90","197.79K","0.81%"
"28-11-2023","2,050.50","2,025.00","2,054.40","2,022.90","1.86K","1.35%"
"27-11-2023","2,023.10","2,012.90","2,027.50","2,012.70","1.06K","0.47%"
"24-11-2023","2,013.70","2,002.50","2,014.10","2,002.00","0.52K","0.53%"
"23-11-2023","2,003.00","1,991.20","2,004.50","1,990.90","214.88K","-0.02%"
"22-11-2023","2,003.40","2,010.40","2,015.00","1,999.80","0.67K","-0.43%"
"21-11-2023","2,012.00","1,994.10","2,019.50","1,993.20","0.67K","1.07%"
"20-11-2023","1,990.70","1,997.90","1,997.90","1,978.10","0.31K","-0.22%"
"17-11-2023","1,995.10","1,994.70","2,004.60","1,992.80","0.04K","-0.13%"
"16-11-2023","1,997.70","1,971.50","1,999.70","1,971.30","0.18K","1.16%"
"15-11-2023","1,974.70","1,977.20","1,989.50","1,971.50","0.12K","-0.12%"
"14-11-2023","1,977.00","1,960.30","1,983.90","1,960.30","0.12K","0.84%"
"13-11-2023","1,960.60","1,954.80","1,961.50","1,949.10","1.38K","0.65%"
"10-11-2023","1,948.00","1,971.10","1,971.10","1,948.00","0.76K","-1.63%"
"09-11-2023","1,980.30","1,965.00","1,979.60","1,964.30","0.26K","0.61%"
"08-11-2023","1,968.30","1,984.60","1,984.60","1,965.80","0.21K","-0.80%"
"07-11-2023","1,984.10","1,989.40","1,989.40","1,978.40","0.73K","-0.76%"
"06-11-2023","1,999.30","2,001.90","2,006.00","1,995.80","0.77K","-0.52%"
"03-11-2023","2,009.70","2,017.40","2,017.40","2,010.50","0.02K","0.29%"
"02-11-2023","2,003.90","2,005.00","2,005.00","2,000.40","0.04K","0.31%"
"01-11-2023","1,997.80","2,004.80","2,004.80","1,997.00","0.00K","-0.34%"
"31-10-2023","2,004.60","2,009.80","2,009.80","2,002.30","0.01K","-0.52%"
"30-10-2023","2,015.00","2,034.00","2,036.90","2,020.10","7.63K","0.83%"
"27-10-2023","1,998.50","1,995.00","2,019.70","1,986.40","213.76K","0.06%"
